Класс	Проект по инвалидам	Проект по водным ресурсам	Проект по усыновлению	Закон о врачах	Проект по Сальвадору	Закон о религиях	Антиспутниковый проект	Проект помощи Никарагуа	Проект по ракетам	Закон об иммигрантах	Проект по альтернативным источникам топлива	Закон об образовании	Проект по фондам	Проект по преступности	Проект по таможенным пошлинам	Проект по экспорту
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	воздержался	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	воздержался
демократ	воздержался	да	да	воздержался	да	да	нет	нет	нет	нет	да	нет	да	да	нет	нет
демократ	нет	да	да	нет	воздержался	да	нет	нет	нет	нет	да	нет	да	нет	нет	да
демократ	да	да	да	нет	да	да	нет	нет	нет	нет	да	воздержался	да	да	да	да
демократ	нет	да	да	нет	да	да	нет	нет	нет	нет	нет	нет	да	да	да	да
демократ	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	воздержался	да	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	воздержался	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	воздержался	воздержался
республиканец	нет	да	нет	да	да	нет	нет	нет	нет	нет	воздержался	воздержался	да	да	нет	нет
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	да	воздержался	да	да	воздержался	воздержался
демократ	нет	да	да	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	воздержался	воздержался
демократ	да	да	да	нет	нет	да	да	да	воздержался	да	да	воздержался	нет	нет	да	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	воздержался	нет	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	воздержался	нет	воздержался
демократ	да	нет	да	нет	нет	да	нет	да	воздержался	да	да	да	воздержался	нет	нет	да
демократ	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	воздержался	да	да	нет	нет
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
демократ	да	да	да	нет	нет	воздержался	да	да	нет	нет	да	нет	нет	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	воздержался	воздержался	да	да
демократ	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	воздержался	нет	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
республиканец	да	нет	нет	да	да	нет	да	да	да	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	воздержался
демократ	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
республиканец	да	воздержался	нет	да	да	да	нет	нет	нет	да	нет	да	воздержался	да	нет	да
республиканец	да	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	нет	да	нет	нет	нет	да	да	да	да	да	нет	да	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	воздержался	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	нет	да
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	нет	нет	да	да	воздержался	нет	да	нет	нет	нет	да	воздержался
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	нет	да
демократ	да	нет	да	нет	нет	нет	да	да	воздержался	нет	нет	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	нет	нет	да	да	нет	нет	нет	нет	нет	да	нет	да
республиканец	нет	воздержался	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	воздержался	нет	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	воздержался	воздержался
республиканец	да	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	да	да	нет	нет	да	воздержался	да	нет	нет	да	да	нет	да	нет	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	да	да	да	да	нет	нет
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	да	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	воздержался
демократ	да	да	да	нет	нет	воздержался	да	да	да	да	нет	нет	нет	нет	да	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	воздержался	нет	нет	нет	да
республиканец	да	да	нет	да	да	да	да	нет	нет	нет	нет	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	да	нет	нет	нет	да	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	воздержался
республиканец	да	да	да	да	нет	нет	да	да	да	да	да	нет	нет	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	воздержался
республиканец	да	нет	да	да	да	нет	да	нет	да	да	нет	нет	да	да	нет	да
