PRODID	NAME
774	Бетаферон пор.лиоф.д/ин. 9600000 ЕД фл. [с р-лем, фл.] кор. 15 Schering-Plough Labo N.V.
808	Бифидумбактерин пор. для приема внутрь пак.флг.ламин.ПЭ пач.картон. 30 Партнер
809	Бифидумбактерин табл. фл. 20 пач.картон. 10 Вирион НПО
810	Бифидумбактерин супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Фермент
811	Бифидумбактерин супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Экотем НОЦ
812	Бифидумбактерин супп.рект. уп.контурн.яч. 10 пач.картон. 1 Алфарм
813	Бифидумбактерин супп.рект. уп.контурн.яч. 5 пач.картон. 2 Алфарм
814	Бифидумбактерин пор. для приема внутрь пак.флг.ламин.ПЭ пач.картон. 10 Партнер
816	Бифидумбактерин в таблетках табл. уп.контурн.яч. 10 пач.картон. 5 КОНПО
818	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь с инсулин.проб. 5 доз фл. пач.картон. 10 Эко
819	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Фермент
820	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 10 доз фл. пач.картон. 10 Аллерген
821	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Биомед им. И.И.Мечн
822	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Предприятие по прои
823	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Санкт-Петербургский
824	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Омское предприятие
825	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Екатеринбургское пр
826	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Тюменское предприят
827	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Биоком
828	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис
829	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Восток
830	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 КОНПО
831	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз амп. [с нож.амп.] пач.картон. 10 Вирио
832	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 10 доз фл. пач.картон. 10 Биомед НПО
833	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 10 доз амп. [с нож.амп.] пач.картон. 10 Вири
834	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 3 доз амп. пач.картон. 10 Вирион НПО
835	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Аллерген
836	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз амп. [с нож.амп.] пач.картон. 10 Иммун
837	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Санкт-Петербургский
838	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 ИмБио
839	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Биомед НПО
840	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 3 доз амп. [с нож.амп.] пач.картон. 10 Иммун
841	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экотем НОЦ
842	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Ланафарм
844	Бифидумбактерин сухой в свечах супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Ланафарм
845	Бифидумбактерин сухой в свечах супп.рект. уп.контурн.яч. 5 пач.картон. 2 Экотем НОЦ
846	Бифидумбактерин сухой в свечах супп.рект. уп.контурн.яч. 5 пач.картон. 2 ИмБио
848	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 30 Партнер
